state,region,site_name,site_url,search_url
Massachusetts,south coast,southcoast,https://southcoast.craigslist.org/,https://southcoast.craigslist.org/search/apa
Massachusetts,western massachusetts,westernmass,https://westernmass.craigslist.org/,https://westernmass.craigslist.org/search/apa
Massachusetts,worcester / central MA,worcester,https://worcester.craigslist.org/,https://worcester.craigslist.org/search/apa
Michigan,ann arbor,annarbor,https://annarbor.craigslist.org/,https://annarbor.craigslist.org/search/apa
Michigan,battle creek,battlecreek,https://battlecreek.craigslist.org/,https://battlecreek.craigslist.org/search/apa
Michigan,central michigan,centralmich,https://centralmich.craigslist.org/,https://centralmich.craigslist.org/search/apa
Michigan,detroit metro,detroit,https://detroit.craigslist.org/,https://detroit.craigslist.org/search/apa
Michigan,flint,flint,https://flint.craigslist.org/,https://flint.craigslist.org/search/apa
Michigan,grand rapids,grandrapids,https://grandrapids.craigslist.org/,https://grandrapids.craigslist.org/search/apa
Michigan,holland,holland,https://holland.craigslist.org/,https://holland.craigslist.org/search/apa
Michigan,jackson ,jxn,https://jxn.craigslist.org/,https://jxn.craigslist.org/search/apa
Michigan,kalamazoo,kalamazoo,https://kalamazoo.craigslist.org/,https://kalamazoo.craigslist.org/search/apa
Michigan,lansing,lansing,https://lansing.craigslist.org/,https://lansing.craigslist.org/search/apa
Michigan,monroe ,monroemi,https://monroemi.craigslist.org/,https://monroemi.craigslist.org/search/apa
Michigan,muskegon,muskegon,https://muskegon.craigslist.org/,https://muskegon.craigslist.org/search/apa
Michigan,northern michigan,nmi,https://nmi.craigslist.org/,https://nmi.craigslist.org/search/apa
Michigan,port huron,porthuron,https://porthuron.craigslist.org/,https://porthuron.craigslist.org/search/apa
Michigan,saginaw-midland-baycity,saginaw,https://saginaw.craigslist.org/,https://saginaw.craigslist.org/search/apa
Michigan,southwest michigan,swmi,https://swmi.craigslist.org/,https://swmi.craigslist.org/search/apa
Michigan,the thumb,thumb,https://thumb.craigslist.org/,https://thumb.craigslist.org/search/apa
Michigan,upper peninsula,up,https://up.craigslist.org/,https://up.craigslist.org/search/apa
Minnesota,bemidji,bemidji,https://bemidji.craigslist.org/,https://bemidji.craigslist.org/search/apa
Minnesota,brainerd,brainerd,https://brainerd.craigslist.org/,https://brainerd.craigslist.org/search/apa
Minnesota,duluth / superior,duluth,https://duluth.craigslist.org/,https://duluth.craigslist.org/search/apa
Minnesota,mankato,mankato,https://mankato.craigslist.org/,https://mankato.craigslist.org/search/apa
Minnesota,minneapolis / st paul,minneapolis,https://minneapolis.craigslist.org/,https://minneapolis.craigslist.org/search/apa
Minnesota,rochester ,rmn,https://rmn.craigslist.org/,https://rmn.craigslist.org/search/apa
Minnesota,southwest MN,marshall,https://marshall.craigslist.org/,https://marshall.craigslist.org/search/apa
Minnesota,st cloud,stcloud,https://stcloud.craigslist.org/,https://stcloud.craigslist.org/search/apa
Mississippi,gulfport / biloxi,gulfport,https://gulfport.craigslist.org/,https://gulfport.craigslist.org/search/apa
Mississippi,hattiesburg,hattiesburg,https://hattiesburg.craigslist.org/,https://hattiesburg.craigslist.org/search/apa
Mississippi,jackson,jackson,https://jackson.craigslist.org/,https://jackson.craigslist.org/search/apa
Mississippi,meridian,meridian,https://meridian.craigslist.org/,https://meridian.craigslist.org/search/apa
Mississippi,north mississippi,northmiss,https://northmiss.craigslist.org/,https://northmiss.craigslist.org/search/apa
Mississippi,southwest MS,natchez,https://natchez.craigslist.org/,https://natchez.craigslist.org/search/apa
